Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Patricia Gini,@patrigi,,,,,12,https://x.com/patrigi/status/1777320185021489345,https://x.com/patrigi,"@VivamosVL  Hace más de un mes que reclamamos para que arreglen la luminaria  superior en España 2210. Tres vecinos, reclamos por todos los medios,  mandan mail, dan un número de reclamo....8 de abril, la luz sigue quemada. #VivamosVL",Apr 8,2024-04-08T12:58:47.000Z
VVG,@VVG03949267,"https://pbs.twimg.com/media/GKfx8hwWcAAXJw8?format=jpg&name=360x360, https://pbs.twimg.com/media/GKfx8hwWcAAXJw8?format=jpg&name=360x360",,1,1,17,https://x.com/VVG03949267/status/1776654627313705448,https://x.com/VVG03949267,"@VivamosVL, todo muy lindo que pinten el puente, pero¿ es necesario dejar todo sucio?. Los vidrios del refugio de la parada del 29, los mojones, el piso todo chorreado de pintura.  ¿Qué les pasa que no están haciendo nada bien?",Apr 6,2024-04-06T16:54:06.000Z
Jose Luis Traversaro,@JoseTraversaro,,,,,7,https://x.com/JoseTraversaro/status/1776630057638703463,https://x.com/JoseTraversaro,"@VivamosVL Hace más de diez días hice el reclamo por luminaria que no funciona desde hace un mes y aún no lo solucionan.
MVL-361851-V6X9V0 es el número de gestión.
No es la única luminaria, gran cantidad de luminarias que no funcionan, pero bien que aumentan el ABL rápidamente.",Apr 6,2024-04-06T15:16:28.000Z
Diego Bertossi,@diego_bertossi,,,,,2,https://x.com/diego_bertossi/status/1776380231391019274,https://x.com/diego_bertossi,En Munro necesitamos que se fumigue para bajar la cantidad de mosquitos xfavor!,Apr 5,2024-04-05T22:43:45.000Z
VVG,@VVG03949267,"https://pbs.twimg.com/media/GKVzuSxWsAEnq5U?format=jpg&name=360x360, https://pbs.twimg.com/media/GKVzuSxWsAEnq5U?format=jpg&name=360x360",,,,30,https://x.com/VVG03949267/status/1775952884879753719,https://x.com/VVG03949267,@VivamosVL Desde hace más de dos meses .Libertador y Roca. La  puerta del Correo Argentino. Vergonzoso,Apr 4,2024-04-04T18:25:38.000Z
Cintita Gta v,@cintita_v91280,,,,,10,https://x.com/cintita_v91280/status/1775606659676520793,https://x.com/cintita_v91280,@VivamosVL Mariano pelliza sigue sin luz poste alto Mariano Pelliza 3145 !!!! Cansados de hacer reclamos,Apr 3,2024-04-03T19:29:51.000Z
Monita,@monitahorda,,,,1,19,https://x.com/monitahorda/status/1775291843854410169,https://x.com/monitahorda,"@VivamosVL hace 3 días q hay un perro llorando, xq lo deben haber dejado sólo y afuera de la casa. En zoonosis no atiende nadie. Q hacemos?",Apr 2,2024-04-02T22:38:53.000Z
Ivan Croacia,@CroaciaIvan,,,,,22,https://x.com/CroaciaIvan/status/1775194858245828822,https://x.com/CroaciaIvan,"Vicente Lopez 
CINICOS
1) No existe fumigacion
2) MUGRE en Vicente LÓPEZ
3) MESES q no funciona muchas luces de Alumbrado

Me llego la boleta de Alumbrado Barrido y limpieza con un aumento feroz.
Basta de aumentar por lo que no dan
@soledadmartinez
@UcrVicenteLopez
@JMilei",Apr 2,2024-04-02T16:13:30.000Z
Batwa,@batwa,,,,,17,https://x.com/batwa/status/1774954017409696145,https://x.com/batwa,"Pueden explicarnos que es eso de que los ""muchachos"" de Transporte Olivos pasaron hoy 1 de abril pidiendo una contribucion? Los tipos con ""uniforme'. Todo re trucho. Nadie sabe de esto?",Apr 1,2024-04-02T00:16:29.000Z
Cintita Gta v,@cintita_v91280,,,,,4,https://x.com/cintita_v91280/status/1774923253154210284,https://x.com/cintita_v91280,"@VivamosVL pasó un
Mes de varios reclamos y sigo sin luz en la calle !
Mariano pelliza 3145",Apr 1,2024-04-01T22:14:14.000Z
Secpadawan,@sec_padawan,,,,1,31,https://x.com/sec_padawan/status/1774104700071059649,https://x.com/sec_padawan,"@VivamosVL @soledadmartinez @DC103MVL 
Hace 3 dias que no funciona luminaria de pringles al 4100, florida oeste. 
El 147 no atiende. Donde senpuede pedir reparación?",Mar 30,2024-03-30T16:01:36.000Z
Paola,@rodripao1,,,,,8,https://x.com/rodripao1/status/1773456035233063386,https://x.com/rodripao1,Enviado! Aguardo respuesta! Gracias,Mar 28,2024-03-28T21:04:02.000Z
Secpadawan,@sec_padawan,,,,1,31,https://x.com/sec_padawan/status/1774104700071059649,https://x.com/sec_padawan,"@VivamosVL @soledadmartinez @DC103MVL 
Hace 3 dias que no funciona luminaria de pringles al 4100, florida oeste. 
El 147 no atiende. Donde senpuede pedir reparación?",Mar 30,2024-03-30T16:01:36.000Z
Paola,@rodripao1,,,,,8,https://x.com/rodripao1/status/1773456035233063386,https://x.com/rodripao1,Enviado! Aguardo respuesta! Gracias,Mar 28,2024-03-28T21:04:02.000Z
Patri Scherman,@patyscherman,,,,,14,https://x.com/patyscherman/status/1773419590535561504,https://x.com/patyscherman,"Tendrían que volver a pasar x Lavalle 840/850,
el barrendero pasó pero no limpió.",Mar 28,2024-03-28T18:39:13.000Z
Ave Fenix,@sima3_ave,,,,1,14,https://x.com/sima3_ave/status/1773318145513508965,https://x.com/sima3_ave,"@VivamosVL sinceramente siendo el
Municipio que más recauda en impuestos , no les parece que ya deberían tomar una actitud más proactiva para colaborar en la lucha contra el Dengue? O están esperando q la cifra de muertos del municipio lo justifique? El camión que fumiga debería",Mar 28,2024-03-28T11:56:07.000Z
Cynthia Purves,@PurvesCynthia,,,,,25,https://x.com/PurvesCynthia/status/1773061786171785475,https://x.com/PurvesCynthia,@VivamosVL que suerte. Hace más de una semana que están las bolsas de hojas en la puerta de mi casa en florida y no pasan. Mucha plata en publicidad y poca en servicio,Mar 27,2024-03-27T18:57:26.000Z
Vale,@valeriabpsi,,,,1,40,https://x.com/valeriabpsi/status/1773054750302290079,https://x.com/valeriabpsi,"@VivamosVL @soledadmartinez tengo una pregunta, cuando van a fumigar? Por la puerta de mi casa no han pasado nunca, nunca!! Q están esperando que nos infectemos todos???  Para algo pagamos los impuestos! #dengue @C5N",Mar 27,2024-03-27T18:29:28.000Z
Vale,@valeriabpsi,,,,,14,https://x.com/valeriabpsi/status/1772724328901091507,https://x.com/valeriabpsi,@VivamosVL @soledadmartinez tengo una consulta cuando van a fumigar contra los mosquitos? Por la puerta de mi casa nunca han pasado a fumigar! Que están esperando y nos infectemos todos!,Mar 26,2024-03-26T20:36:30.000Z
Liliana Reynoso,@malirey12,,,1,1,32,https://x.com/malirey12/status/1772718067971170670,https://x.com/malirey12,"@VivamosVL. Esta tarde un vecino de Monteagudo y Rio Bermejo de Florida intentó acercarle en el Centro de la tercera edad, a la intendenta @soledadmartinez una nota firmada por todos los vecinos describiendo la terrible situación que vivimos luego del incendio.",Mar 26,2024-03-26T20:11:37.000Z
octavio,@Kiwi_1996,,,,1,37,https://x.com/Kiwi_1996/status/1772708850228920746,https://x.com/Kiwi_1996,Díaz de solis entre Vorrientes y Uribelarrea,Mar 26,2024-03-26T19:34:59.000Z
Natalia,@natusca75,,,,,17,https://x.com/natusca75/status/1772687672563147091,https://x.com/natusca75,por favor es una boca de lobo y tientan a los chorros gracias,Mar 26,2024-03-26T18:10:50.000Z
Natalia,@natusca75,,,,1,13,https://x.com/natusca75/status/1772663542539305447,https://x.com/natusca75,la dirección es fray justo sarmiento 462 florida vte lopez,Mar 26,2024-03-26T16:34:57.000Z
Natalia,@natusca75,,,,1,11,https://x.com/natusca75/status/1772406362246348871,https://x.com/natusca75,"@VivamosVL hace más de un mes que reclamamos luminaria en la vía pública y nadie viene
eso tienta a los chorros
florida vte lopez",Mar 25,2024-03-25T23:33:01.000Z
